MAE,Sm,wFm,Em
0.6288613677024841,0.19228116734241346,0.1069993309372677,0.2484621296403009
0.05747928470373154,0.5153558420909694,0.2338109577179244,0.37324272557123367
0.9540976881980896,0.030055704339537546,0.09866324227832812,0.196547993240601
0.39724934101104736,0.3059164448547952,0.06845681592479629,0.2520821806640777
0.74134361743927,0.13642300843055472,0.09190931929579305,0.24228750121928255
0.24663279950618744,0.3897333216858242,0.22201813411504676,0.29301740096015905
0.8112927079200745,0.10449842037469839,0.12067132465751727,0.2218245809365671
0.34881865978240967,0.34338498274574214,0.26699226300389517,0.3035536524642086
0.26928725838661194,0.3974018530278454,0.3056977745742008,0.3244549047973776
0.07057490199804306,0.5512555534138751,0.2559945685925086,0.331294475763145
0.8057697415351868,0.1069085099188769,0.12376679990342503,0.2237690911339274
0.8394786715507507,0.08453058333781831,0.07487696275192932,0.24417936798493786
0.4175681471824646,0.3330592258191023,0.32978907964621235,0.30332659208706136
0.4279080033302307,0.2922223611535338,0.09039880426619389,0.25388449356227905
0.41283196210861206,0.3415717434609911,0.5059031240692287,0.3677658500768617
0.766004204750061,0.12450358410174067,0.10110616550136976,0.2442895782869866
0.886508584022522,0.06064897346433618,0.06561040312517485,0.2488933448161271
0.1435716450214386,0.515799466980511,0.08589491723177985,0.2680542273257593
0.8986216187477112,0.06882531431612131,0.19816249798592503,0.15063557867991198
0.6324214935302734,0.21292894070585106,0.2651627327528677,0.2370075622315539
0.3388462960720062,0.4032289768400311,0.3837388541250422,0.3478786451283322
0.9573097825050354,0.028001086041900686,0.09058036902953971,0.19453501323572703
0.33855244517326355,0.34307410611583233,0.1666796389156321,0.2761498971008327
0.1969698667526245,0.48432176923503506,0.3035455133339349,0.3410423154048339
0.07567238062620163,0.5438279272796542,0.36872524748065233,0.43286652049940083
0.24092307686805725,0.4048741455802505,0.22148120989711687,0.2960445895827547
0.9781596064567566,0.013514497836472867,0.06277750345199078,0.2312646095648162
0.5967168807983398,0.24026572396629364,0.26646117828794214,0.26577868825788964
0.4265953600406647,0.2921663404701287,0.07654630941334435,0.2530551186685538
0.595809280872345,0.20969468791629595,0.10876406283160044,0.2515965200977381
0.18638277053833008,0.41120403946120604,0.07640087396864592,0.2533741508182096
0.8274132609367371,0.09829736795123893,0.1390912248915973,0.20062830704182194
0.007028486579656601,0.6188494102690543,0.17462383372094392,0.49932793668672815
0.7434770464897156,0.13240650960242406,0.06642154667728917,0.24794119151010316
0.18486207723617554,0.428352882303084,0.24648724902230834,0.31258475524140245
0.22498971223831177,0.39025934552264185,0.04228680949596626,0.252926822387336
0.3505006730556488,0.387087842169596,0.4309287415723399,0.3566233245327228
0.2332925945520401,0.3937069652626575,0.16440464819826014,0.27897685949496653
0.630579948425293,0.18865325323048032,0.07024600377716958,0.25068059387314523
0.7724087238311768,0.13864680629421292,0.22167135341635666,0.1988749077149038
0.6925031542778015,0.1601285164220982,0.0900622473492481,0.25061060544022906
0.7878726124763489,0.1311932585212177,0.20545322398082475,0.1734601280341243
0.9134411811828613,0.04737581197557142,0.0696276873531689,0.23711990654867604
0.5051222443580627,0.25142335426845835,0.0693041639992431,0.2531384099876909
0.011347156018018723,0.695222965473693,0.139496934607129,0.5335769267347936
0.7739924192428589,0.11711692271868517,0.0643329784210863,0.24936658293198055
0.2378014773130417,0.3859425342535114,0.08868147802809949,0.25334681498114064
0.9370151162147522,0.036183967780214675,0.0689603112610767,0.24114022335371493
0.4906204044818878,0.26413034204927277,0.13909792405159158,0.2585929260869333
0.5035257339477539,0.27465675980669085,0.21525593138753593,0.2676425875257036
0.29976651072502136,0.3569608650468925,0.11408355940195578,0.2598176463919577
0.41518762707710266,0.2986306028166218,0.10845987083723621,0.2564200088160866
0.17463324964046478,0.4204478157013163,0.08826108651028199,0.2616950495941083
0.21385538578033447,0.4040938795075317,0.14928642379850968,0.27401289974073506
0.674260139465332,0.17506605374300666,0.1407834383720386,0.23620640056303002
0.3494325578212738,0.3315645666430071,0.10125800106227716,0.2563904051218937
0.9790452718734741,0.014133425367212753,0.0692762107578391,0.2449454507546992
0.8805469274520874,0.06580075133815506,0.0847290492496091,0.2519941765452194
0.44329631328582764,0.3321192094967369,0.35761601862124864,0.3039752476131169
0.341448038816452,0.3993904696923961,0.46691008952075613,0.37631705928584674
0.3404751718044281,0.3438853911569274,0.26299678710490204,0.2983342562011213
0.7635330557823181,0.12487333638914067,0.08988848421931084,0.24715672939874084
0.42739608883857727,0.3061048890257256,0.2279649320938591,0.28028584641276755
0.05384770780801773,0.47919309736524013,0.03695441642643893,0.2536767873282284
0.14563000202178955,0.5909027406022914,0.5962438025316784,0.5604581312787031
0.9567161202430725,0.027006234036319708,0.08264758280147376,0.2501156414251302
0.9345601797103882,0.03624091164930376,0.07037782690660235,0.24815245076032383
0.42963099479675293,0.365486583734846,0.4148023089363039,0.32023755668440834
0.28494489192962646,0.39824156072705236,0.2460032821325819,0.3014105675159509
0.24336880445480347,0.3969083238072948,0.2328446223851173,0.3020603066566837
0.3217618465423584,0.3447762076470995,0.07067531294396537,0.25458334946913225
0.17221802473068237,0.4225097064369383,0.10318682169007236,0.26118376520965725
0.44676968455314636,0.28166296872891794,0.06787065926431025,0.25105080490914344
0.09155856817960739,0.8331705246853633,0.715198488981198,0.7155067086830179
0.7584257125854492,0.13905216388823383,0.1913064592359422,0.20309413930637965
0.6109876036643982,0.19940378456088917,0.07291768460498545,0.2514155083154396
0.14294366538524628,0.5468411661793491,0.5683627019875208,0.5279217913892835
0.03504595905542374,0.6293221353261923,0.5757619466154953,0.6435313388151634
0.4703295826911926,0.28326645249867327,0.14686466148736071,0.2625051903521858
0.42477190494537354,0.29321918995602275,0.09033623913395898,0.25488782620338485
0.2590096592903137,0.391199950437612,0.2252746423607269,0.3002526168788341
0.7665468454360962,0.1324666704396207,0.19463381949679565,0.1897922001422006
0.20759479701519012,0.4036033104801318,0.19191972924380568,0.2847097271002494
0.9338256120681763,0.04684992753229509,0.15196163809385424,0.20230566453361493
0.18733833730220795,0.4325969557557555,0.34732066386409655,0.37079483639397337
0.690497636795044,0.18142022504259003,0.2540888092371421,0.21429820261120192
0.8454801440238953,0.09965276384336297,0.1612035907802072,0.1727735810295949
0.3122577369213104,0.40028079796312355,0.367223805233277,0.35378678847683714
0.6752435564994812,0.16600604723359216,0.06696650725038143,0.25031374089069724
0.5400257110595703,0.2420976513548189,0.13950877706016043,0.2557425889683487
0.6242425441741943,0.20960877596640723,0.23975360006887136,0.24524356495339325
0.7496418952941895,0.13020381365541062,0.07406473905992651,0.2502504756810009
0.12210313975811005,0.48953747109739665,0.22861450997247754,0.32190471064551285
0.011613266542553902,0.5583846527259608,0.5116319428904729,0.818011295450519
0.786969006061554,0.11093604024790384,0.06869986898062212,0.2449983697455042
0.8122994303703308,0.09837143008470739,0.07670424480091598,0.2508895822912436
0.4715108275413513,0.3110679447366061,0.26598535209550045,0.27711609788625646
0.9791795015335083,0.015543865837182631,0.07766631974620489,0.24662398893514836
0.31881994009017944,0.4677152365987197,0.4758973080579189,0.3907529968244472
0.39254552125930786,0.3330268322345917,0.36451287451433784,0.3275410538269907
0.2965375781059265,0.3890267610225827,0.5174722044406352,0.416657222441301
0.43046048283576965,0.31053840243371295,0.26561638583444575,0.2879262438912567
0.3980313241481781,0.3697504473836879,0.34600723560215413,0.31503912666329836
0.9801731705665588,0.01855403862507562,0.11564766122553127,0.24593650501251346
0.3663380742073059,0.3584489010412968,0.4496881197689086,0.3616205087543813
0.542835533618927,0.23608674052769812,0.104079539217606,0.2519168802355397
0.4369839131832123,0.3072131371656981,0.2778776573854051,0.2875600616425307
0.9838006496429443,0.01397752929032529,0.08339337856825386,0.24900420998839085
0.809937596321106,0.1008948840572608,0.07962378435016265,0.2478203602889329
0.517675518989563,0.2812900521598768,0.17004882367109941,0.25833954952365695
0.8666244149208069,0.07013725794294477,0.06724343712188774,0.25114504733503906
0.03340253233909607,0.48498124293836736,0.020973202637291594,0.2512446163253538
